video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"RQqZuYUxg_I","Olvidé que había COMPRADO ESTAS COSAS 7!","2023-07-26T22:30:36Z","UCsCQIvK0LGpb3dBRo2RXAfA","MissaSinfonia","23","23.28.07","missasinfonia|missa sinfonia|divertido|analisis rosa de guadalupe|lusito comunica|wismichu|momos|memes|sldg|auronplay","3277707","463761","0","22321","https://i.ytimg.com/vi/RQqZuYUxg_I/default.jpg","False","False","Sigamos en contacto!Twitch:https://www.twitch.tv/missasinfoniaFacebook:https://www.facebook.com/missa.sinfonia/?ref=ts&fref=tsTwitter:http://www.twitter.com/MissaSinfoniatumblr.http://missasinfonia.tumblr.com/instagram:http://instagram.com/missasinfoniaSoundCloud:http://www.soundcloud.com/missasinfonia"
"Milwz2hSmH4","¡TRIUNFO CON GOLAZOS DE LA CASABLANCA ANTE LOS DIABLOS ROJOS! | R. Madrid 2-0 Man. Utd. | RESUMEN","2023-07-27T02:38:18Z","UCFmMw7yTuLTCuMhpZD5dVsg","ESPN Fans","17","23.28.07","ESPN|2023|Soccer Champions Tour|Resumen|Real Madrid|Manchester United|Golazos|Partidazo|Goles","1698580","41799","0","1419","https://i.ytimg.com/vi/Milwz2hSmH4/default.jpg","False","False","Disfruta el Soccer Champions Tour 2023 por #ESPNenStarPlus ingresando a este link: http://dis.la/ESPNenStarPlus_YTSOCCER CHAMPIONS TOUR 2023Goles: 6' J. Bellingham (RM); 89' Joselu (R).No te pierdas los videos del Soccer Champions Tour 2023 en nuestra playlist: https://bit.ly/3pYOXNC¿Ya te suscribiste a nuestro canal? https://bit.ly/3bAT9rx​​​​​​Para más información, visita http://www.espn.com​​​​​​​​​​​​​​No te olvides de seguirnos en TODAS las redes:- https://www.facebook.com/ESPNFutbol- https://twitter.com/ESPNFutbolarg- https://www.instagram.com/espnfutbolarg- https://www.facebook.com/ESPNFans​​​​- https://twitter.com/ESPNArgentina​​​​- https://www.instagram.com/espnargentina/"
"IMoZK-SUfMo","Residente, Ricky Martin - Quiero Ser Baladista","2023-07-27T00:00:06Z","UCMwXzr4_lGijScJsMp-IHxw","ResidenteVEVO","10","23.28.07","Residente|Ricky Martin|Residente Ricky Martin|Quiero Ser Baladista Ricky Martin|Quiero Ser Baladista Residente|nueva musica|residente 2023|nueva musica residente|musica 2023 residente|rap 2023|rap en español|nueva cancion residente|ricky martin 2023|nueva musica Ricky martin|rap ricky martin|soy el amor que te ama amandote|quiero querer quererte queriendote|5020 Records|Latin Urban|Quiero Ser Baladista|Ricky","1941061","178660","0","30540","https://i.ytimg.com/vi/IMoZK-SUfMo/default.jpg","False","False","Nombre del director: René Pérez / Alejandro PedrosaConcepto: Gabriel CabraNombre del productor: Carolina WolfDirector de Fotografía: Pepe Ávila del PinoNombre de casa productora: Worldjunkies IncCo Producción: 1868 StudiosExecutive Producers: Erick Douat & Alejandro JimenezDir Arte: Jose Ignacio Jimenez5020 RecordsHe gastao mucho dinero en pañales y teterosPorque en este género tengo más hijos que el lecheroCuando se meten con el mero meroSaco el bombardero y aceleroY su nivel rebaja sin que tomen coca cola ceroHago un agujero y entro cuando quieroPor debajo del porteroEste caballero pateando como delanteroLes parte el trasero Soy el lobo que revuelca el gallineroNi con balas de plata muero siempre nuevocomo el primero de enero.Lo mío nunca caducaYa yo no tiro punchlinesYo disparo con bazookaMis barras botas mas humo que un salón de hookasCon media yuca les parto la nucaY como a Farruko se les vuela la pelucaDesde mi niñez tengo lucidezNo creo en el 2, no creo en el 3Creo en el 1 y el 0, espor eso soy el 10.Yo los muerdo,no pueden conmigo estos cerdosNi peleando solo con el ojo izquierdoNi aunque Drake apueste a favor mío pierdo.Me comí todos los entremesesEn esta pecera ya no veo peses Sin que me intereseComo cuando hablo y me como las esesMe dicen Cesar Millan a vecesPorque cuando el Residente hablaEstos perros obedecenSoy imparable ni aunque recen Mil veces todos los mesesSoy como Messi clavándose a los francesesPorque desde Calle 13El rap y yo vivimos juntos como los siamesesMi letra es precisa cuando va de prisaSoy como una brisa que los descuartizaCon el filo de mi tizaComo las navajas de suizaNi aunque me tiren encima las playas de IbizaEste volcán se paralizaLos hago cenizasChito Vera dándole una palizaPero les juro que me cansa darles duroLo se, soy un inmaduroPa divertirme los torturoLes desfiguró los días del solPara que su futuro sea oscuroYa no quiero hacer más tiraerasQuiero pasear mi perrito por la aceraTener sexo grupal hasta que mueraHacer manualidades pa vender en la primaveraRegar las plantas del jardín con la mangueraAbogar por la paz mundial en la tierraCada vez que haya guerraSiempre por el centro nunca a la extremaSin asumir posturas de ningún temaPorque no quiero problemas.Caerle bien a to el mundo como un pastel de cremaQuiero ser humanistaQuiero dejar de acribillar artistasY que las cabezas ya no rueden por la pistaPronunciar las “eses” en todas las entrevistasDesde hoy, quiero ser baladista.Soy el amor que te ama, AMÁNDOTE.Quiero querer, quererte, QUERIÉNDOTE.Y si yo estoy aquí y tu estás allá,quiero que vengas aquí y salgas de allá.Te falta lo que tengo aquí, me falta lo que tienes allá.Y si no puedes llegar aquí pues cierra los ojos allá. Imagínate que estás aquí conmigo.Desde chiquito admito que cuando me agito y recitopor el beat hasta el infinito ya no veo letras en mi manuscrito,ahora solo veo numeritos.Soy calculador como asesino en seriecuando decapito cada cabeza de cada raperitola cuantifico.Estoy enfermo porque mientras más les doy me excito.Hasta el planeta Tierra me pide a los gritos: “¡NOOOOMEJOR QUE CAIGA UN METEORITO!”Dicen que estoy maldito porque sin varita mágica y sin sombreritoyo los convierto en pajaritos.Solo recito mis escritos y vuelan pal carajocomo los celulares que tira Benito.Viven menos que un mosquito,sus películas no duran porque yo se las edito.Me dicen Almodovar sin tener un guión escritoporque yo no vivo para el Rap, el Rap vive en la piel que habito.Perdonan que presuma pero saben que el Residentees peligroso con la pluma, cinta negra con la tintacolor puma, como Snoop Dog se los fuma.¡Ni pidiendo por la paz mundial, los salva Maluma!Estoy entre la bruma jangueando con Moctezuma,no me llegan aunque sean contables no les da la suma.Estoy tirando tanta peste, que ni con un baño de espumaesta pista se perfuma.Voy de cacería con mi artilleríamontada en las caballerías de letras en coreografíacon una maestría en poesía con ingeniería.Me ven las arpías pasar con mi palabrería y“Shhhh..se quedan en silencio como en una librería”Estas porquerías se duermen en la porteríaaunque sea de día por eso con mucha alegríapaso por la vía y ¡GOL DE DI MARIA!Ni la sicología entenderíacomo tengo tanta energía en un beat sin batería.Y tantas preguntas que de fijo,Soy como si Sócrates y Platón tuvieran un hijo.Con la crisis de los cuarenta no soy el mismo,Siento que tengo otra persona dentro de mi organismo.Soy el amor que te ama, AMÁNDOTE.Quiero querer, quererte, QUERIÉNDOTE.Y si yo estoy aquí y tu estás allá,quiero que vengas aquí y salgas de allá.Te falta lo que tengo aquí, me falta lo que tienes allá.Y si no puedes llegar aquí pues cierra los ojos allá.Imagínate que estás aquí conmigo..#Residente #RickyMartin #QuieroSerBaladista"
"7TJmm4c_acE","¡LOS GUNNERS VENCIERON AL BARSA EN UN PARTIDAZO IMPRESIONANTE! | Arsenal 5-3 Barcelona | RESUMEN","2023-07-27T05:12:29Z","UCFmMw7yTuLTCuMhpZD5dVsg","ESPN Fans","17","23.28.07","ESPN|2023|Soccer Champions Tour|Resumen|Goles|Golazo|Partidazo|Arsenal|Barcelona|Lewandowski|Trossard","1482920","35009","0","2895","https://i.ytimg.com/vi/7TJmm4c_acE/default.jpg","False","False","Disfruta el Soccer Champions Tour 2023 por #ESPNenStarPlus ingresando a este link: http://dis.la/ESPNenStarPlus_YTSOCCER CHAMPIONS TOUR 2023Goles: 7' R. Lewandowski (B); 13 B. Saka (A); 34' Raphinha (B); 42' K. Havertz (A); 55' L. Trossard (A); 77' L. Trossard (A); 87' F. Torres (B); 89' F. Vieira (A).No te pierdas los videos del Soccer Champions Tour 2023 en nuestra playlist: https://bit.ly/3pYOXNC¿Ya te suscribiste a nuestro canal? https://bit.ly/3bAT9rx​​​​​​Para más información, visita http://www.espn.com​​​​​​​​​​​​​​No te olvides de seguirnos en TODAS las redes:- https://www.facebook.com/ESPNFutbol- https://twitter.com/ESPNFutbolarg- https://www.instagram.com/espnfutbolarg- https://www.facebook.com/ESPNFans​​​​- https://twitter.com/ESPNArgentina​​​​- https://www.instagram.com/espnargentina/"
"TzwB62cWsAw","EVOLUCION y CAIDA de los SUPERHEROES en el CINE | #TeLoResumo","2023-07-26T23:00:12Z","UCw7Bz6EHxlnOoBUBlJZCWCw","Te lo resumo","1","23.28.07","resumenes de series películas|películas resumidas|series resumidas|analisis de cine|cine|critica de cine","947505","104260","0","5392","https://i.ytimg.com/vi/TzwB62cWsAw/default.jpg","False","False","Twitch | https://www.twitch.tv/teloresumoasinomasInstagram | https://www.instagram.com/teloresumo/Twitter | https://twitter.com/teloresumoFacebook | https://www.facebook.com/teloresumo/Y metele una suscribida al canalY si te sobra el tiempo compartime el video"
"vYAox5ajwE0","Robleis x Miranda! - Loro (Official Video)","2023-07-27T00:00:13Z","UCo27B6-j-cuAiBb9nd2d0iQ","Robleis Music","10","23.28.07","robleis|robleisiutu|robleis music|official teaser|teaser oficial|video oficial|cancion|musica|robleis cancion|videoclip|tema|video|trailer|trap|pop|video lyric|letra|miranda!|loro","396949","95178","0","6532","https://i.ytimg.com/vi/vYAox5ajwE0/default.jpg","False","False","► Escúchalo en spotify y más: https://orcd.co/loroSeguí a Robleis:► Instagram:  https://instagram.com/robleis► Twitter:  https://twitter.com/robleis01► Spotify: https://sptfy.com/robleisSeguí a Miranda!:► Instagram:  https://instagram.com/mirandaenvivo► Spotify: https://open.spotify.com/artist/2eEmsgWmUFMbtU7agJpnjY?si=PnEA8nB4R8mjgdUgYK1z6AProd. Estani  - Mix & Master: Estani y Joe Luna."
"eQ35V-wxHqY","Poppy Playtime: Chapter 3 - Teaser Trailer #2","2023-07-26T17:00:11Z","UCXqV4yoyC_mmZye6VbKFPeQ","Mob Entertainment","20","23.28.07","[none]","1764884","122405","0","16062","https://i.ytimg.com/vi/eQ35V-wxHqY/default.jpg","False","False","Grab the Exclusive Chapter 3 Merch!https://poppyplaytime.com/products/poppy-playtime-hour-of-joy-chapter-3-exclusive-teeYou must stay alive in this unique, horror-puzzle adventure. Try to survive the vengeful toys waiting for you in the abandoned toy factory. Use your GrabPack to hack electrical circuits or nab anything from afar. Explore the mysterious facility... and don't get caught.Follow the game: https://linktr.ee/PoppyPlaytimeCo"
"Rt2z9ixKHv0","¡LES ENSEÑO DÓNDE VIVO! - HOUSE TOUR","2023-07-26T22:09:54Z","UCoc-rA_iPLMnpkg7BppXwCg","Yess SKabeche","24","23.28.07","JESS SKABECHE|ESCABECHE|MAS SKABECHE|MARIANA YOLOAVENTURAS|ROOM TOUR|HOUSE TOUR SKABECHE|MI NUEVA CASA|KIMBERLY LOAIZA|LA MANSION DE YOLOAVENTURAS|YOLOAVENTURAS|YOLORIANA SE SEPARA|TEAM LEYENDA|HOUSE TOUR FEDE VIGEVANI|LES PRESENTO MI NUEVA CASA-HOUSE TOUR|PASAMOS LA PRIMERA NOCHE EN NUESTRA NUEVA CASA *HOUSE TOUR*|ESTA ES NUESTRA NUEVA CASA *DE YOUTUBER*|MI EXCLUSIVO ROOM TOUR 2019 - BRYAN SKABECHE|YESSERICK|DEPA TOUR YESS SKABECHE|EDDY SKABECHE|CAROLINA DIAZ","175349","9727","0","239","https://i.ytimg.com/vi/Rt2z9ixKHv0/default.jpg","False","False","Holiii! Desde hace ya un tiempo les había prometido que les enseñaría mi casita y por fin aquí está!! Tarde pero seguro 😅, hace un año que me mudé sola y al fin pude amueblarlo, obvi con el apoyo de mi novio, famila y amigos ❤️ Espero que les guste =)Gracias por compartir esto conmigo, les amo!!💛 https://www.instagram.com/yess_skabeche💛 https://www.tiktok.com/@yess_skabeche💛 https://twitter.com/yess_skabecheFilmación y edición:🎥 https://www.instagram.com/zuriel_robles💻 https://instagram.com/sakatedeaqui¡LES ENSEÑO DÓNDE VIVO! - HOUSE TOUR  - YESS SKABECHE"
"eiqB4QoE40M","Comiendo TODO el abecedario (Letra B) | El Guzii","2023-07-26T23:22:20Z","UCuGn3ioftOo6jvHE1YK4Bfw","El Guzii","26","23.28.07","El Guzii|Guzzi|Guzy|Guzii Style|Recetas Divertidas|Jairo Macizo|Cocina Lab|Sabores del Alma|Cocina|Miskiri Miskiri|fuego alto|mini size me|comiendo todo el abecedario|eating the alphabet|burger king|baja lounge|bodega sushi|baristas bravos|bol corona|the real cheeseburger|la guandarita|burrito de barbacóa|bodega roll|birria taco|shrimp battered taco|camaron caramelo","203581","13723","0","591","https://i.ytimg.com/vi/eiqB4QoE40M/default.jpg","False","False","En éste video El Guzii prueba diferentes lugares que empiezan con la letra B. Uno de ellos, la hamburguesa de queso de Burger King Tailandia.#ElGuzii Sígueme en TIKTOK:https://vm.tiktok.com/ZS5sAVaP/ *** Mi equipo de cocina: ***- Olla de presión InstantPot: https://amzn.to/3h9PtyI - Sartén de Acero: https://amzn.to/3gatGW8 - Cuchillo 1 (Chef Knife): https://amzn.to/2YaYS1o- Cuchillo 2 (Slicing Knife): https://amzn.to/3g6o7s0- Cuchillo 3 (Utility Knife): https://amzn.to/3kWERFB- Cuchillo 4 (Bread Knife): https://amzn.to/2Ei47oN- Cortador de Harina y Masa: https://amzn.to/2EqewPR- Adaptador para Moler Carne: https://amzn.to/3cmUEtn *** Mi equipo de grabación ***- Cámara de Video: https://amzn.to/3ji7taT - Cámara para Foto: https://amzn.to/2EpZ1HI - Lente 1 (Video): https://amzn.to/3aYz3GU - Lente 2 (Foto): https://amzn.to/2QqicDG - Tarjeta SD (Video): https://amzn.to/2YBokNI- Grabadora (Audio): https://amzn.to/32iWWVK - Tarjeta SD (Audio): https://amzn.to/3b82BSV - Microfono Inalambrico (Audio): https://amzn.to/2Expy5x - Microfono para cámara (Audio): https://amzn.to/2YypYQo ***************************************************FACEBOOK - http://www.facebook.com/ElGuziiOfficialINSTAGRAM - http://www.instagram.com/elguzii TIKTOK - https://vm.tiktok.com/ZS5sAVaP/ WEBSITE - http://www.elguzii.com ***************************************************¿GUSTAS ENVIARME ALGO? El Guzii591 Telegraph Canyon Road No. 562Chula Vista, CA 91910***************************************************"
"CByCfJOBBAE","EXTENDED HIGHLIGHTS | Bayern Munich 1-2 Man City | McAtee, Laporte & Tel Goals","2023-07-26T15:00:05Z","UCkzCjdRMrW2vXLx8mvPVLdQ","Man City","17","23.28.07","man city|manchester city|mcfc|fifa 22|man city highlights|man city goals|city|man|city vs|man city vs|chelsea man city|man city news|man united|chelsea|liverpool|man city v|city fixtures|city vs united|man city fixtures|grealish man city|jack grealish man city|jack grealish|haaland|laporte|mcatee|aymeric laporte|james mcatee|bayern munich|tokyo|pre-season|pre season|friendly|sane freekick|leroy sane|freekick|sane","3537709","59320","0","1267","https://i.ytimg.com/vi/CByCfJOBBAE/default.jpg","False","False","Manchester City completed the Japan leg of our pre-season tour with a 2-1 victory over Bayern Munich in Tokyo.SUBSCRIBE! http://www.youtube.com/subscription_center?add_user=mancityhttp://www.mancity.comhttp://www.facebook.com/mancityhttp://www.twitter.com/mancityhttp://www.instagram.com/mancityhttps://www.tiktok.com/@mancityAbout the Official Man City YouTube Channel:Here you will find all the latest videos from Manchester City, including, all Premier League goals, highlights, behind-the-scenes footage, training and much more.Get closer to the likes of Jack Grealish, Bunny Shaw, Kevin De Bruyne, Lauren Hemp, Erling Haaland, Riyad Mahrez, Ellie Roebuck Phil Foden, Esme Morgan and the rest of Pep Guardiola & Gareth Taylor's teams!"
